Emp ID,Name Prefix,First Name,Middle Initial,Last Name,Gender,E Mail,Father's Name,Mother's Name,Mother's Maiden Name,Date of Birth,Time of Birth,Age in Yrs.,Weight in Kgs.,Date of Joining,Quarter of Joining,Half of Joining,Year of Joining,Month of Joining,Month Name of Joining,Short Month,Day of Joining,DOW of Joining,Short DOW,Age in Company (Years),Salary,Last % Hike,SSN,Phone No. ,Place Name,County,City,State,Zip,Region,User Name,Password
677509,Drs.,Lois,H,Walker,F,lois.walker@hotmail.com,Donald Walker,Helen Walker,Lewis,3/29/1981,02:31:49 AM,36.36,60,11/24/2003,Q4,H2,2003,11,November,Nov,24,Monday,Mon,13.68,168251,21%,467-99-4677,303-572-8492,Denver,Denver,Denver,CO,80224,West,lhwalker,DCa}.T}X:v?NP
940761,Ms.,Brenda,S,Robinson,F,brenda.robinson@gmail.com,Raymond Robinson,Judy Robinson,Perry,7/31/1970,12:13:27 PM,47.02,60,7/27/2008,Q3,H2,2008,7,July,Jul,27,Sunday,Sun,9.01,51063,27%,537-71-4566,225-945-4954,Stonewall,De Soto,Stonewall,LA,71078,South,bsrobinson,TCo\j#Zg;SQ~o
428945,Dr.,Joe,W,Robinson,M,joe.robinson@gmail.com,Scott Robinson,Stephanie Robinson,Taylor,6/16/1963,10:45:36 AM,54.15,68,8/3/2016,Q3,H2,2016,8,August,Aug,3,Wednesday,Wed,0.98,50155,16%,025-92-3584,219-904-2161,Michigantown,Clinton,Michigantown,IN,46057,Midwest,jwrobinson,GO4$J8MiEh[A
408351,Drs.,Diane,I,Evans,F,diane.evans@yahoo.com,Jason Evans,Michelle Evans,Allen,12/4/1977,02:18:45 AM,39.67,51,4/16/1999,Q2,H1,1999,4,April,Apr,16,Friday,Fri,18.3,180294,1%,314-35-9851,215-793-6791,Hydetown,Crawford,Hydetown,PA,16328,Northeast,dievans,0gGRtp1HfL<r5
193819,Mr.,Benjamin,R,Russell,M,benjamin.russell@charter.net,Gregory Russell,Elizabeth Russell,Nelson,4/17/1977,05:41:11 PM,40.31,58,7/25/2013,Q3,H2,2013,7,July,Jul,25,Thursday,Thu,4.01,117642,13%,121-98-7248,262-404-2252,Fremont,Waupaca,Fremont,WI,54940,Midwest,brrussell,Rd<Y8cp!@R;*%F
499687,Mr.,Patrick,F,Bailey,M,patrick.bailey@aol.com,Ralph Bailey,Laura Bailey,Henderson,9/27/1982,01:12:41 PM,34.86,58,7/22/2005,Q3,H2,2005,7,July,Jul,22,Friday,Fri,12.02,72305,5%,439-99-7721,319-812-6957,Macksburg,Madison,Macksburg,IA,50155,Midwest,pfbailey,K7&5aY/*
539712,Ms.,Nancy,T,Baker,F,nancy.baker@bp.com,Scott Baker,Judy Baker,Thomas,6/13/1995,08:56:32 PM,22.14,50,9/14/2016,Q3,H2,2016,9,September,Sep,14,Wednesday,Wed,0.87,98189,0%,641-29-2071,229-336-5117,Atlanta,Fulton,Atlanta,GA,30334,South,ntbaker,xJdKlAcYQhT_BE#
380086,Mrs.,Carol,V,Murphy,F,carol.murphy@gmail.com,Eugene Murphy,Katherine Murphy,Peterson,6/30/1958,10:39:33 AM,59.12,40,1/28/1983,Q1,H1,1983,1,January,Jan,28,Friday,Fri,34.52,60918,20%,423-67-7023,216-336-0009,Blanchester,Clinton,Blanchester,OH,45107,Midwest,cvmurphy,Uc+VG%vuZU<k
477616,Hon.,Frances,B,Young,F,frances.young@gmail.com,Fred Young,Lillian Young,Diaz,6/9/1959,04:38:47 PM,58.18,42,4/27/1994,Q2,H1,1994,4,April,Apr,27,Wednesday,Wed,23.27,121587,28%,028-92-8912,210-819-9765,Delmita,Starr,Delmita,TX,78536,South,fbyoung,K}^USc0l7[A
162402,Hon.,Diana,T,Peterson,F,diana.peterson@hotmail.co.uk,Jonathan Peterson,Christina Peterson,Ross,11/13/1987,03:59:26 AM,29.73,60,2/17/2014,Q1,H1,2014,2,February,Feb,17,Monday,Mon,3.44,43010,4%,512-33-6767,479-783-5656,Eureka Springs,Carroll,Eureka Springs,AR,72632,South,dtpeterson,3o8>v&tYxjyEAo
231469,Mr.,Ralph,L,Flores,M,ralph.flores@yahoo.com,Terry Flores,Michelle Flores,Moore,2/5/1975,02:15:50 AM,42.5,80,4/14/2009,Q2,H1,2009,4,April,Apr,14,Tuesday,Tue,8.29,118457,8%,302-15-0130,316-280-2864,Sabetha,Nemaha,Sabetha,KS,66534,Midwest,rlflores,7tP\LrSr}\qTqj
153989,Prof.,Jack,C,Alexander,M,jack.alexander@gmail.com,Samuel Alexander,Sharon Alexander,Walker,5/19/1995,04:33:57 PM,22.21,61,1/5/2017,Q1,H1,2017,1,January,Jan,5,Thursday,Thu,0.56,82965,23%,428-99-9413,702-603-3769,Las Vegas,Clark,Las Vegas,NV,89170,West,jcalexander,9L*-O1U.9mSUSh
386158,Mrs.,Melissa,Q,King,F,melissa.king@comcast.net,Philip King,Maria King,White,2/24/1972,06:04:57 PM,45.45,55,11/24/2015,Q4,H2,2015,11,November,Nov,24,Tuesday,Tue,1.68,166892,1%,277-17-9106,216-605-3731,New Matamoras,Washington,New Matamoras,OH,45767,Midwest,mqking,FE5i<e-Y}[4f78
301576,Hon.,Wayne,G,Watson,M,wayne.watson@gmail.com,Ronald Watson,Margaret Watson,Hayes,6/26/1996,12:23:21 AM,21.1,87,7/19/2017,Q3,H2,2017,7,July,Jul,19,Wednesday,Wed,0.02,92758,14%,011-94-6649,701-231-9370,Maida,Cavalier,Maida,ND,58255,Midwest,wgwatson,wM4J{]&j\-eGc
